German,French
"Es war gut, dass Mama sich ausruhte, denn die Straßen waren überfüllt mit Leuten, die sich die Statuen und Denkmäler anschauten, und manche waren laut und zudringlich.",Et certains étaient bruyants et vulgaires.
"Ich bitte für nichts um Vergebung, das ich nicht getan habe.","Je demanderai pas pardon, j'ai rien fait"
lch werfe dich aus diesem Haus!,Je t'ordonne de sortir de cette maison!
"lch weiß, es gibt einige Sachen, die ich getan habe, auch dir angetan habe.","Je sais que j'ai fait des choses, spécialement à toi."
"Willie, kannst du mich für ein paar Tage unterbringen?","Willie, tu peux m'héberger pour quelques jours?"
"Niemand ausser mir hält die Kiste am laufen"" hat Sie gesagt","Non, chéri. tu viens de faire la pire connerie de ta vie."
"Geh zur Toilette, öffne das Fenster und warte auf mich.","Ecoutez- moi: allez à la salle de bains, ouvrez la fenêtre et attendez."
"Ein anderer Grund, weshalb ich dich nicht schon früher angerufen habe, ist, dass ich dein Buch erst mal auslesen wollte.","L'autre raison, c'est que je voulais finir ton livre."
"Sie hat gesehen, wie er mich verprügelt hat.",Elle m'a vu par terre.
Ich möchte am liebsten Model werden.,Mais je préférerais devenir mannequin.
"Ja, ich bringe dich nach Pelagos.","Oui, je vais t'emmener à Pélagosa."
"Ich weiss, dass du es bist! </ i>",Je sais que c'est toi!
"Mr Sansweet bat nicht darum, gerettet zu werden.",Il ne voulait pas qu'on le sauve!
"Aber je mehr ich zurückdenke, desto mehr löst sich alles auf.",Rien ne semble vrai.
Die packen die Kostüme ein und fahren ab,On emporte les costumes.
"Ein langes Wochenende, kühle Margaritas, nur du und ich am Strand allein, der Sonnenuntergang, ja?","Margaritas, nous deux seuls sur la plage au coucher du soleil."
Trotzdem waren sie auf die Hilfe eines Künstlers angewiesen.,Mais il leur fallait quelqu'un pour les aider.
"Wer hat euch Mistkerlen erlaubt, mein Haus zu benutzen?","Enfoirés, qui vous a permis de venir chez moi?"
Das hab ich noch niemandem gesagt!,Je le traduis pour personne.
"Und für Hermann, den Feldmann, war auch was mit drin",Et un autre pour Hermann
Ihr beide hättet also gelogen und Christus verleugnet.,"Vous auriez donc menti, renié le Christ"
"Nein, ich bringe ihn nicht zu einem Verhör her.","Non, je ne le convoquerai pas."
Weil ich gerade den letzten Karton ausgepackt habe.,Parce que je viens de déballer le dernier carton.
Sonst mach ich einen Gürtel aus dir!,Ou je te transforme en ceinture.
Du hast mit ihr über mich geredet.,Tu lui as parlé de moi.
"Muß schön sein, Chase zu verfolgen.",Une chasse qu'on vous donnerait volontiers.
Diese Schlüssel fand ich in meiner Tasche.,Ces clés étaient dans ma poche.
Dass ich sie rette von was Sie sich fürchtet und Sie weit weit weg nehme,Que je la protégerai et que je l'emmènerai loin.
Die Geduld der Priester hat ihre Grenzen.,La patience des prêtres a des limites.
Deshalb bist du jetzt hier draußen?,C'est pour ça que t'es ici?
Vulkanerde ist mit die fruchtbarste der Welt.,La terre volcanique est une des plus riches au monde.
An dieser Geschichte bin ich offenbar selbst Schuld.,C'est ma faute.
Ansager) Hier ist eine besondere Attraktion.,"Mesdames et Messieurs, regardez bien!"
lch kann für Sie Besuche bei Takahashi arrangieren.,Vous pourrez rendre visite à Takahashi.
Jetzt läuft er auch noch wie ein Verrückter.,"Il a pas de tête mais il a des jambes, ce petit."
"Sieh mal an, vielleicht sollten wir uns mal treffen.","On devrait se rancarder, un jour!"
Dads bester Freund geht an die Arbeit.,"On va la jouer serrée, comme au cinéma."
"Wenn wir gegen das Gesetz verstoßen, sind wir wie die Ungläubigen.","Se déshonorer en le tuant, c'est n'etre pas mieux que I'infidele."
Die Schlagzeilen - das grösste Polizeikommando in der Geschichte Kaliforniens ist derzeit im Einsatz.,y: i} La plus grande mobilisation policière {y: i} de l'histoire de la Californie {y: i} est en cours.
Hört sich das besser an für Sie?,C'est mieux?
"Festhalten, Waldi, wir machen uns auf die Weltraumsocken.","Accroche toi, Barfo, on va faire une trainée spatiale."
Wieso hast du kein Wort gesagt?,Vous descendez sans me le dire?
"Fleisch, Haut, Haare, Blut - für Cyborgs gezüchtet.","Chair, peau, cheveux et sang créés pour les cyborgs."
Kaya Maghan hat dich bereits abgesetzt.,Kaya Maghan t'a même déjà destitué.
Sei nicht traurig oder überrascht Laß uns befreundet bleiben,Ne joue pas la surprise affligée soyons civilisées
"Hätte ich in Santa Maria Land gekauft, wenn ich ´ne Chance gehabt hatte... hätte ich ein Vermögen damit gemacht, wenn ich das...","Si j'avais investi là- bas quand je le pouvais, j'aurais fait fortune à l'arrivée de..."
Bringt sie ihn mit zu der Hochzeit?,Elle l'emmène au mariage?
"Halten wir es mal zehn Minuten lang sauber?""","C'est possible de ne rien salir pendant 10 min?"""
Was war das für ein Geräusch?,"C'était quoi, ce bruit?"
Wer hat dann Ihrer Meinung nach die Pyramiden erbaut?,J'ignore qui a bâti les pyramides...
"Du rennst in die Nacht hinein, um ein anderes Gesicht zu finden, und noch eins, bis du eines schrecklichen Tages merkst, daß Rache der Inhalt deines Lebens ist, ohne zu wissen weshalb.","Alors, tu cours dans la nuit, cherchant un autre visage, puis un autre... jusqu'au matin terrible oû tu prends conscience que la vengeance est devenue toute ta vie, et tu ne sais pas pourquoi."
"Namen, die Titel der Besitzer, Listen der Opfergaben.","Noms propres, titres honorifiques, Listes d'offrandes."
lch möchte jetzt auch niemanden sehen.,"Certes, j'avoue que je m'eusse passé de visiteurs aujourd'hui."
"y: i} Hier war Troja vor 3. 000 Jahren, {y: i} eine Stadt des Schicksals, {y: i} die den Hellespont beherrschte, {y: i} der heute als die Dardanellen {y: i} bekannt ist.","y: i} Troie dominait l'Hellespont, {y: i} l'actuel détroit des Dardanelles."
Nächste Woche setzen wir 400. 000 $.,"La semaine prochaine, on jouera 400 000 $."
Sie versuchen den Kanal zu verlegen!,lls essaient de remonter le canal.
"Möglich, dass ich ab und zu mal solche Bilder betrachtet habe.",Je dis pas non...
Haben Sie das von der Strasse gestohlen?,Tu l'as volé dans la rue?
"Ja, da hat es auch wehgetan.",Ça fait toujours aussi mal.
"Egal, wenn wir ihn dadurch ein paar Tage los sind, oder?","En tous cas, on aura la paix trois jours."
"Ich möchte an euer Ehrgefühl appellieren, Afghanistan zu rächen.",J'en appelle a votre honneur pour venger I'Afghanistan.
"Connor auszuschalten, hätte das nicht geändert.",Tuer Connor ne servait plus à rien à ce moment.
Ich habe kürzlich ungewöhnliche Seelenwanderungen beobachtet.,J'ai vu un trafic d'âmes inhabituel ces derniers temps
"Und Sie denken, der Teufel sei dafür verantwortlich?",Et vous pensez que le Diable est responsable?
"Ich hätte draußen mit meinen Männern sterben sollen, aber jetzt bin ich nur noch ein Krüppel, eine Missgeburt ohne Beine!","Maintenant, je ne suis plus qu'un putain d'infirme, un cul- de- jatte."
Jetzt ist mein Leben nur noch eine Uberraschung nach der anderen.,Ma vie est á présent pleine d´expériences de surprises et d´histoires nouvelles.
Du bist nicht mehr ganz bei dir!,Tu es complètement défoncé.
"Sie geben sich nicht zu erkennen, weil es...... eine ungeheure Panik gäbe.","lls ne se montrent pas, parce que s'ils le faisaient... ça causerait une panique générale."
"Die ganze Schule wird erfahren, was du für eine bist.",Toute l'école va apprendre quel genre tu es.
"Mr. Harper, Sie haben uns genug geholfen.","Harper, vous nous avez assez aidés."
"Du sagtest ihm, daß du früher kommst.",Tu l'as prévenu de ton arrivée.
So werde ich für meine Sünden bestraft.,"Je suis puni pour mes péchés, c'est ça?"
Aber ich hab' s nicht geschafft.,Rien n'a marché.
Wirst du mit dem Tourismuskram aufhören und die Hotels suchen?,Saute ces conneries et passe aux hôtels!
Die Zeit wartet nicht auf mich!,L'heure tourne!
Hat deine Schwester wieder eine Geschichte erzählt?,Ta soeur t'a raconté des bêtises?
Vielleicht können wir ja heiße Rezepte aus ihm rausleiern.,Peut être qu'il voudra bien nous faire des fausses ordonnances à son retour.
"Allzu vorsichtige Frauen verpassen viel, Andraste.",La femme prudente se prive de bien des joies.
Als wichtiger deutscher Geheimdienstler solltest du uns von Nancy erzählen können.,"Alors, Colonel, vous pourrez nous renseigner sur Nancy."
Ich bin so stolz auf dich.,Je suis très fière de toi.
"Wir packen zusammen und verschwinden, bevor eine deutsche Patrouille kommt.",On ramasse tout et on file avant que les Allemands ne se montrent.
"Jemand sagte, der Weltfrieden sei in unserer Hand, aber ich spielte nur Pingpong.",Mais je n'ai fait que jouer au ping- pong.
"Es ist nass, kalt und wir sind unter starkem Beschuss!",ll pleut de l 'eau et des bombes!
Ayabe und ich haben alles gesehen und gehört.,"Ayabe et moi- même avons tout vu, tout entendu."
"Dieser Scheißer versucht seit Äonen, aus dem Schatten seines Vaters zu treten.",Cette petite ordure essaye de sortir de l'ombre de son père depuis la nuit des temps
i>Es gewinnt Wrecking Crew. </ i>,"Démolisseur, Parlabas et Polisson."
"Es war völlig nackt, wie ein Neugeborener.","L'enfant était complètement nu, comme un nouveau- né."
Ich habe mit Pfarrer Hallmar gesprochen.,J'ai parlê au pasteur.
"Wir fahren auf dem Broadway, biegen rechts in die 34ste Strasse.",Tourne à droite dans la 34th Street.
"Wenn du es schaffst, dass dein Hackentritt wieder kommt, dann glaube ich... wäre die Verteidung undurchdringbar!",Je crois... que la défense serait infaillible!
"Ich will nicht mit Gewalt hierher zurück, verstehen Sie?",Je ne vais pas rester plus longtemps.
"Was möchtet ihr alles getan haben, bevor ihr sterbt?",Qu'aimeriez- vous avoir fait avant de mourir?
Nur ein Engel oder ein Hund würden das tun.,"Cela, seul un ange ou un chien en serait capable."
"Man kann herumkommen auf dieser Welt, mit Pudding.",On peut aller dans le monde entier avec le pudding.
i>Dafür zahlen wir Ihnen das Dreifache lhres Jahresgehalts. </ i>,"Si vous acceptez, vous recevrez le triple de votre salaire actuel."
"Ich hab dir gesagt, dass jemand im Zimmer war und wurde dafür bestraft.",Je t'ai dit qu'il y avait quelqu'un et tu m'as punie!
"lch bin dermaßen nutzlos, dass ich´s nicht mal schaffe, mich umzubringen.",Trop dérisoire pour pouvoir même me tuer.
Und du kennst meine Eltern nicht.,Et toi mes parents!
"Wie lange, Trojaner, sollen wir leiden?",Combien de temps va- t- on souffrir?
"Lady, Sie haben eine Bombe da drin!",ll y a une bombe chez vous!
"Hast du versucht, mich wieder reinzulegen? lst das der Grund?",C'est ca? -
Ich rufe Präsident Skroob an und geb ihm Bescheid.,Je vais appelerSpaceball City et prévenir le President Skroob.
"Wo ist denn meine Blume, Boss?","Et ma fleur, patron?"
"Ich versuche nur, dein Freund zu sein.",J'essaie juste d'être ton amie.
"Es sieht aus, als gäbe es keine Brücken mehr.",ll ne reste aucun pont debout.
"Hauptsache, unser Sohn ist zurück, mein liebes Kind.","Mon fils est revenu grâce à toi, cela suffit."
Er kam und zeigte mir den Weg.,Il est descendu pour me montrer la voie.
"Ja, aber wohl zu indirekt, denn ich habe verloren.","Oui, mais j'ai été trop délicate, parce que j'ai échoué."
"lch glaube, wir sollten hier warten.","Nous devons attendre ici, je crois."
Gemäß den Gesetzen von Moses und lsrael.,Selon la loi de Moï. se et d'lsraël.
"Wenn ich' s dir erzähle, würdest du...","Si je te disais qui c'est, tu deviendrais..."
"Meinst du nicht, dass es für so einen Kommentar ein bisschen zu früh ist?",Tu te trouves pas négatif un peu vite?
So was bewegt sich in unseren Kreisen,Cette grâce impose sa loi
"Weisst du, mein Laden ist sehr berühmt für sein leckeres Brot.",Mon magasin était renommé pour ses petits pains vapeurs.
"Moment, Mama will mit dir reden.","Attends, maman veut te parler."
"Wenn wir uns mit der Richtung vertun, könnten wir im Weltraum landen.","Oui, c'est prodigieux."
"Die kleine Lydia sagte genau das gleiche... als ihr klar wurde, dass wir drei tot waren.",La petite Lydia a posé la même question quand elle a compris que nous étions morts
Und ändern Sie die Kombination an meinem Gepäck.,Et changez la combinaison de mes bagages.
Nehmt eure Bajonette... und geht Kelly entgegen!,Sortez vos ba?? ïonnettes et avancez vers Kelly!
Sie sollen sie vor Mittag hinbringen.,Au palais des congrès avant midi.
Und spielen Sie das nie wieder ab.,"En fait, ne repassez jamais ça."
"Seitdem ich diese Krankheit habe, habe ich keine Kontrolle über mich.","Depuis que j'ai cette maladie, je n'arrive plus à me contrôler."
Du siehst wirklich gut drin aus.,Vraiment.
Warum sollst du als Einziger darin verwickelt sein?,Pourquoi serais- tu le seul incriminé?
"Da dieser Bösewicht seine Taten... mit Rätseln signiert, gaben ihm die Gothamiter den Spitznamen ""Riddler"".","Ce nouveau criminel signe ses méfaits par des devinettes, tout Gotham l'appelle l'Homme Mystëre."
Er schürt die lchimonjis gegeneinander auf und reißt sich Euer Land unter den Nagel.,Il attise la guerre entre les lchimonji et il s'empare de leurs terres.
"Der Film basiert nicht auf der Realität, sondern ist eine fiktive Entdeckungsreise durch den ewigen, spirituellen Konflikt.","Ce film part non des Evangiles, mais de cette exploration imaginaire d'un conflit spirituel de toute éternité."
Wie kann es so was geben?,Comment peuvent- ils faire ça?
Aber das hier könnte sie belasten.,Mais cela va la compromettre.
lch habe sie seinen Leuten gegeben.,Je les ai remis à ses gens.
Deine Habgier ist Schuld an allem.,Ton avidité est la cause de tout.
"Die Leute wussten gar nicht, wie ihnen geschah.",Personne n'a compris ce qui se passait.
"Nein, es ist in meinem Zelt.","Non, elle est dans ma tente."
Was soll daran so besonders sein?,Je n'en sais rien.
Zu jeder Tages - oder Nachtzeit.,"Quand tu voudras, jour et nuit."
"lch fürchte, daß Snaut und Sartorius hereinkommen.","Snaut et Sartorius, ils vont venir..."
Ich werde den Panzer in die Luft jagen!,J'exige d'etre celui qui fera exploser le tank!
"Woher wusste Stephanie, dass es am Samstag ist?",Qui lui a dit que c'était samedi?
Aber ich war ein kleines Kind.,Mais je n'étais alors qu'un enfant.
"Es wurden zwei zugelassen, aber erst, nachdem Gouverneur George Wallace seine Drohung, die Schule zu verbarrikadieren, wahr machte.",Deux nègres ont été admis mais seulement après que le gouverneur George Wallace ait symboliquement barré la porte d'entrée.
"Es tut mir Leid, aber laut Paragraph 17 ist der Schaden nicht gedeckt.","Je suis désolé, Mme Hogenson, mais notre responsabilité civile est bien expliquée au paragraphe 17."
Die Namen der Opfer lauten wie folgt:,Voici leurs noms:
"Wir müssen noch mal halten, ich sage lhnen, wo.",Nous nous arrêterons en route.
"Siehst du, wie unglücklich sie sind?",Vois- tu combien ils sont malheureux?
Geh mir nicht an die Haare.,Ne me decoiffe pas.
"Willst du, dass ich dich bemitleide?",Tu veux m'apitoyer?
"Meinst du, wir sollten uns zurückziehen?",Tu crois qu'on devrait se replier?
"Na komm, die Nase kennt es.",Le nez connait.
Haben die denn Marmelade ubrig gelassen?,Ils nous en ont laissé?
Man muss ihn nur wieder auftreiben.,Je pense qu'il suffit de le retrouver.
"Ist jetzt Mittagspause, oder warum gehen alle...",Il y a un buffet...?
"Es ist die Aufgabe der lnfanterie, die Stellung zu halten!",C'est à l'infanterie de tenir!
"Tut mir Leid, das zu hören.",Merci
"Also, es ist alles ganz einfach.","C'est pas compliqué, ici."
"Möchten Sie das zerstören, was wir nicht begreifen können?",Et détruire ce que nous ne sommes pas encore fichus de comprendre?
"Wenn etwas schief geht, und du kommst nicht wieder...",Si tu devais ne pas revenir...
Man ließ mich an einem Seil über den Nazi- Panzern herab.,Mes camarades me mettaient a une corde au sommet des blindés nazis.
"Es macht euch Jungs Spass, Kung- Fu im Fussball anzuwenden und dann ins Finale zu kommen.",Et de décrocher comme une fleur la finale.
Dem kleinen Forrest geht es gut.,"Le petit Forrest, il va très bien."
"Passen Sie gut auf sich auf,...",Et faites attention à vous.
"Verstehen Sie, was ich gesagt habe?","Vous comprenez ce que je vous ai dit, mon père?"
"Ich nehme es, wie es kommt.",Je prends ce qu'on me donne.
Man soll uns hier nicht sehen.,Mettons- nous à l'abri.
"Nicht ganz, ich hoffe sogar sehr, dass ich Hitler nicht treffe.","Pas vraiment, et j'espère qu'il ne me saluera pas!"
"Nein, ich weiß nicht einmal, was das für ein Film ist.",Je ne sais même pas de quoi parle ce film.
"Aber der, den ich neulich hatte, der auch noch Scheiße war, Fehlschlag!","Mais un autre mec que j'ai baisé, c'était une erreur."
"Er versprach, ein Messias des Volkes würde kommen...",ll a promis qu'un Messie issu du peuple
Was zum Teufel soll das heißen?,Ça veut dire quoi?
"Wartet ihr, bis das Ding gelaufen ist?",Vous attendrez que l'opération soit finie?
In dem Zimmer dort steht ein Sofa.,Il y a un divan dans l'autre pièce.
"Erst reisse ich dir die Knöpfe einzeln von der Bluse, dann fahre ich mit meiner Zunge deinen Hals hinunter zu deinen Brüsten!","y: i} J'arracherai les boutons {y: i} de ton chemisier un à un, {y: i} ma langue glissera sur ton cou {y: i} vers tes seins nus."
Es gibt immer ein 1. Mal.,ll y a toujours une première fois.
"lhr seht nicht aus, als ob ihr aus dieser Gegend wärt.",Vous n'avez pas l'air d'être du coin.
"Das ist keine Liebe, sondern Sport- Sex.",C'est une baiseuse.
Holen Sie meinen Koffer im Gepäckraum.,La valise que j'ai fait descendre.
"Siehst du, endlich erkennen Sie dein Talent an.",Tes compétences sont enfin reconnues.
"Und dann, in der Wüste, wenn die Sonne aufgeht, wusste ich nicht, wo der Himmel aufhörte und die Erde anfing.","Et dans le désert, quand le jour se levait, je ne voyais pas où s'arrêtait le ciel et où commençait la Terre."
"Regel Nr. 1 ist, ich soll nicht darüber reden.",la première règle... est de ne pas en parler.
"Du willst dein Leben geben, damit sie zum Himmel auffahren kann?",Est tu es disposé à perdre la vie pour qu'elle gagne le paradis?
"Ich würde sagen, bringen Sie Norma Wilcox eine Kopie lhrer Police.",J'aimerais vous conseiller de donner une copie de votre contrat à Norma Wilcox.
"y: i} Jeff, ich brauche dich auf meiner Seite.",J'ai besoin de toi.
Er wird der neue Verkünder werden.,ll allait être la Nouvelle Alliance.
Du musst mit Ray reden und das klären.,"Tu dois parler à Ray, il faut résoudre ça."
Aber er muss uns hier rausbringen.,Nous avons besoin de lui pour nous sortir de là.
Der Weg nach Berlin ist sehr lang.,Elle doit leur durer jusqu'à Berlin!
Herr Direktor wunscht Ihnen alles Gute und schickt ihnen einen Cognac.,Le directeur vous souhaite une santé de fer et vous envoie du cognac.
"Zieh dich aus, halt' s Maul, Harold.",Je m'en fous.
"Statt auf eine Gesprächslücke zu warten, um selbst reden zu können.",D'attendre de pouvoir prendre la parole.
So weit lass ich' s nicht kommen.,Je la mettrai jamais.
Für sie tötete er tausend Mann.,lui fit tuer mille hommes.
Ihr Amerikaner... habt es immer so eilig.,"Vous, les Américains, vous êtes toujours pressés."
Wie kannst du mir das antun?,Comment peux- tu me faire une chose pareille?
Die Militärmaschine hatte scheinbar eine brisante Ladung.,sans doute à cause de la cargaison militaire très sensible.
So hast du mich lange nicht mehr genannt.,Vous ne m'avez pas appelé ainsi depuis longtemps.
Er sollte nicht so zu mir reden.,Me parler sur ce ton!
"Also, worum geht' s denn gerade?","Alors, tu es sur quoi la?"
Ich hab dir heute etwas besorgt.,Je t'ai trouvé un cadeau.
Die Angst wurde uns genommen von unseren heldenhaften Soldaten.,Nos peurs ont été dissipées grâce aux efforts de nos soldats.
"Du hast überhaupt nicht verdient, ein Mensch zu sein.",Tu ne mérite pas d'être humain
"Na Sarah, wie geht' s denn so?",Comment ça va?
"Hören Sie, ich verstehe, dass Sie sich Sorgen machen.",Je comprends que vous vous inquiétiez.
"Und was hältst du von dem hier, Miles?",Tu le noterais comment?
"Ich denke, wir sollten nun unsere eigentliche Stärke zeigen.",Il est temps de leur sortir notre grand jeu.
"Hören Sie, ich habe lhren Namen auf dem Revier gehört.",Je connais les cercles où vous évoluez.
"Hör auf, Sie spielt nur mit dir","C'était ma soeur, laisse- moi l'achever."
"Das ist nicht das übliche Spiel, ich fühle es.",Il s'agit d'autre chose que le jeu habituel.
"Nur für euch, für euch alle",Nous déposséderons I'oligarchie pour votre seuls!
"Soll ich sagen, ich habe die größte Story des Krieges verpasst?",Je rentre en me disant que j'ai raté le plus beau reportage?
"Glaubst du, wird so sein, wie man sagt?","A ton avis, ce sera impressionnant?"
"Wenn er schon da ist, dann ist es wirklich wichtig.","S'il a insisté pour venir quand même, la question doit être d'importance."
"Aus Angst, du könntest mir entgleiten",J'ai peur de te voir t'en aller
"Ich wollte dich nicht mit reinziehen, aber es geht nicht anders.","Je ne voulais pas t'y mêler, je n'y peux rien."
"Bist du jung, gibt' s nicht viel, das zählt.","Quand t'es jeune, rien n'importe."
