German,French
"Die Olympischen Spiele sind eine großartige Gelegenheit, verschiedene Sportarten auszuüben.",Les jeux olympiques sont une excellente occasion de pratiquer différents sports.
Meine Kolleginnen sind alle sehr freundlich und helfen mir gerne.,Mes collègues sont toutes très aimables et m'aident volontiers.
"Mein Freund hat mir geholfen, eine gute Arbeit zu finden.",Mon ami m'a aidé à trouver un bon emploi.
Ich esse gerne frische Früchte zum Frühstück.,J'aime manger des fruits frais au petit déjeuner.
"Ich mag es, wenn ich bei einer Fernsehshow live im Studio bin.",J'aime quand je suis en direct dans un studio de télévision pour une émission.
"Meine Freundin und ich gehen oft zusammen essen, wenn wir aus der Arbeit kommen.",Ma petite amie et moi allons souvent diner ensemble quand nous sortons du travail.
Die Filme von Quentin Tarantino sind bekannt für ihre einzigartige Erzählweise.,Les films de Quentin Tarantino sont connus pour leur façon unique de raconter des histoires.
Ein guter Lehrer ist wichtig für das Lernen der Schüler.,Un bon professeur est important pour l'apprentissage des élèves.
Da konnten wir zusammen ein Match spielen.,Si nous jouions pour ne pas rester oisif?
Mein Partner und ich haben eine sehr starke Bindung.,Mon partenaire et moi avons un lien très fort.
"Kämpfe gehen so lange, wie nötig.",les combats vont jusqu'au bout.
"Aber der, den ich neulich hatte, der auch noch Scheiße war, Fehlschlag!","Mais un autre mec que j'ai baisé, c'était une erreur."
"Ich freue mich darauf, wieder zur Universität zurückzukehren, um mein Studium fortzusetzen.",Je me réjouis de retourner à l'université pour poursuivre mes études.
"Mein Freund und ich teilen uns eine Wohnung nahe der Universität, was sehr praktisch ist.","Mon ami et moi partageons un appartement près de l'université, ce qui est très pratique."
Die Sprachenschulen bieten Kurse für alle Niveaus an.,Les écoles de langues offrent des cours pour tous les niveaux.
Die Städte in Italien sind bekannt für ihre schöne Architektur und ihre reiche Geschichte.,Les villes d'Italie sont connues pour leur belle architecture et leur riche histoire.
Ein Abonnement für einen Streamingdienst bietet Zugang zu einer Vielzahl von Filmen und Serien.,Un abonnement à un service de streaming offre accès à une variété de films et de séries.
Ein Abonnement für einen Streamingdienst bietet Zugang zu einer großen Auswahl an Filmen und Serien.,Un abonnement à un service de streaming offre accès à un large choix de films et de séries.
"Die Stadt, in der ich wohne, verfügt über viele schöne Parks und Grünflächen.",La ville où j'habite dispose de nombreux parcs et espaces verts magnifiques.
"Ein guter Freund von mir, den ich während meines Studiums getroffen habe, ist jetzt mein Geschäftspartner.",Un bon ami que j'ai rencontré pendant mes études est maintenant mon partenaire commercial.
Der Weg nach Berlin ist sehr lang.,Elle doit leur durer jusqu'à Berlin!
Meine Kommilitonen sind alle sehr nett und unterstützen sich gegenseitig.,Mes camarades de classe sont tous très gentils et se soutiennent mutuellement.
"Es ist wichtig, eine gesunde Balance zwischen Arbeit und Freizeit zu finden.",Il est important de trouver un équilibre sain entre le travail et les loisirs.
"Ich gehe gerne ins Theater oder Konzert, um mich zu unterhalten.",J'aime aller au théâtre ou au concert pour me divertir.
Die Stadt ist sehr groß und belebt,La ville est très grande et animée
Ein Konzertbesuch mit Freunden ist immer etwas Besonderes.,Assister à un concert avec des amis est toujours quelque chose de spécial.
Ich verbringe gerne meine Freizeit mit Freunden und wir machen oft gemeinsam etwas.',Je passe volontiers mon temps libre avec des amis et nous faisons souvent quelque chose ensemble.
"Tennis ist ein toller Sport, um sich fit zu halten.",Le tennis est un excellent sport pour rester en forme.
"Der Sport hilft uns, unsere Gesundheit und Fitness zu verbessern.",Le sport nous aide à améliorer notre santé et notre forme physique.
Basketball ist ein schneller und actionreicher Sport.,Le basket-ball est un sport rapide et plein d'action.
"Mein Büro ist nicht weit von der Universität entfernt, daher kann ich leicht zwischen beiden pendeln.","Mon bureau n'est pas loin de l'université, donc je peux facilement aller et venir entre les deux."
Ich habe letztes Jahr einen Tauchschein gemacht und war in Ägypten zum Tauchen.,J'ai obtenu mon certificat de plongée l'an dernier et je suis allé en Égypte pour plonger.
Ich habe eine neue Jacke gekauft,"J'ai acheté une nouvelle veste,"
Meine Schwester spielt gerne Klavier und singt schön,"Ma sœur joue volontiers du piano et chante bien,"
"Der Park ist ein schöner Ort, um spazieren zu gehen","Le parc est un endroit agréable pour se promener,"
Die Universität von Berlin bietet eine Vielzahl von Studiengängen an.,L'université de Berlin propose une variété de programmes d'études.
"Wenn ich Würmer fangen musste, habe ich sie einfach herausgelockt.","Pour attraper mes vers, le meilleur moyen, c'était de les appâter."
Ich bin weder boshaft noch schadenfroh.,Je ne suis ni malveillant ni méchant.
Meine Schwester spielt sehr gut Klavier,"Ma sœur joue très bien du piano,"
Und ändern Sie die Kombination an meinem Gepäck.,Et changez la combinaison de mes bagages.
"Ich war bereit, mich mit jedem anzulegen.",Je m'affichais devant leurs visages hostiles.
"Das weißt du ja sicher, oder?","Mais je t'apprends rien, non?"
Zu Beginn der heutigen Kommunion...... möchte Chloe ein paar Worte sagen.,Chloé aimerait dire quelques mots.
Unser Team im Büro arbeitet gut zusammen.,Notre équipe au bureau travaille bien ensemble.
"Die Universität bietet viele Möglichkeiten, um neue Fähigkeiten zu erlernen.",L'université offre de nombreuses opportunités pour acquérir de nouvelles compétences.
"Das Internet bietet viele Ressourcen, um neue Sprachen zu lernen.",Internet propose de nombreuses ressources pour apprendre de nouvelles langues.
"Magere kämpfen, bis sie Hamburger sind.",Les maigres sont coriaces.
Ich will diesen Namen nicht hören!,"Du calme, patron."
Ein Besuch im Theater oder im Kino kann sehr unterhaltsam sein.,Une visite au théâtre ou au cinéma peut être très divertissante.
Sie bekamen Angst und rannten fort.,lls ont pris peur et se sont enfuis.
Die Musik ist laut und stört mich,"La musique est forte et me dérange,"
"Wir haben ein großes Teamprojekt im Büro und müssen alle zusammenarbeiten, um es erfolgreich abzuschließen.",Nous avons un grand projet d'équipe au bureau et nous devons tous travailler ensemble pour le terminer avec succès.
"Ich hab' s. Wär doch viel einfacher, irgendwie:","Si on pouvait seulement dire,"
"Das ist schön zu hören, aber unwichtig",Ca fait plaisir mais ça compte peu
"Ich bin dankbar für die gute Beziehung, die ich zu meinen Eltern habe, auch wenn ich schon älter bin.","Je suis reconnaissant pour la bonne relation que j'ai avec mes parents, même si je suis déjà plus âgé."
Mein ganzer verdammter Platoon ist hinüber!,Toute ma putain de section est décimée!
Gemäß den Gesetzen von Moses und lsrael.,Selon la loi de Moï. se et d'lsraël.
"Das Surfen ist ein spannender Sport, den ich gerne betreibe.",Le surf est un sport passionnant que j'aime pratiquer.
Das Wasser im Fluss hat teilweise 30 Grad.,La rivière doit être à 26 degrés.
Unser Chef ist sehr zufrieden mit unserer Arbeit und hat uns eine Belohnung versprochen.,Notre patron est très satisfait de notre travail et nous a promis une récompense.
Am liebsten hab ich sie frittiert als Nuggets.,"Je les aime frits, façon nuggets."
Der Lehrer erklärt die Aufgabe sehr gut,"L'enseignant explique l'exercice très bien,"
"Radfahren ist ein gesunder Sport, der viel Spaß macht.",Le cyclisme est un sport sain qui procure beaucoup de plaisir.
Ich bin Fan des FC Bayern München und gehe oft zu ihren Spielen.,Je suis fan du FC Bayern Munich et je vais souvent assister à leurs matchs.
"Skifahren ist ein toller WinterSport, der viel Spaß macht.",Le ski est un excellent sport d'hiver qui procure beaucoup de plaisir.
Mein Bruder spielt Fußball seit fünf Jahren,"Mon frère joue au football depuis cinq ans,"
Wir haben ein gemeinsames Projekt im Rahmen unseres Studienfachs.,Nous avons un projet commun dans le cadre de notre domaine d'études.
"Das Lesen von Büchern ist eine großartige Möglichkeit, sich zu bilden.",La lecture des livres est une excellente façon de s'instruire.
"Heute besingt es dich, doch morgen wird es dich zertrampeln... und einen anderen Tyrannen besingen.","Mais demain, il te piétinera et chantera pour un autre tyran."
"Ich wette, ihr 2 küsst euch nicht!",Ils sont tellement beaux.
"Ich rate Ihnen auch nicht, ein Formular WS2475 auszufüllen und in der Rechtsabteilung einzureichen.","Je ne peux pas non plus vous recommander de remplir le formulaire WS2 475 et de le donner à notre service juridique, au 2ème étage."
Der Film war sehr unterhaltsam und hatte eine interessante Handlung.,Le film était très divertissant et avait une intrigue intéressante.
"Es ist die Aufgabe der lnfanterie, die Stellung zu halten!",C'est à l'infanterie de tenir!
"Oder das nasse Würgen, wenn jemandem das Blut raussprudelte...",de celui qui reprenait son souffle pour cracher...
"Ich plane, nächstes Jahr nach Paris zu reisen.",Je prévois de voyager à Paris l'année prochaine.
"Die Universitätsbibliothek ist ein guter Ort, um zu lernen und zu konzentrieren.",La bibliothèque universitaire est un bon endroit pour apprendre et se concentrer.
Das Wetter war letzte Woche sehr schlecht und regnerisch,"La météo était très mauvaise et pluvieuse la semaine dernière,"
Ich behalte das als Arschloch- Steuer.,Je les garde comme taxe sur ta connerie.
Wir haben viel Spaß zusammen,"Nous nous amusons beaucoup ensemble,"
Zu jeder Tages - oder Nachtzeit.,"Quand tu voudras, jour et nuit."
Das Leben als Student kann manchmal sehr stressig sein.,La vie d'étudiant peut parfois être très stressante.
"Wir haben eine Gruppe von Freunden, die sich auf dem Campus treffen.",Nous avons un groupe d'amis qui se rencontrent sur le campus.
Das Arbeiten im Team ist sehr wichtig für den Erfolg im Beruf.,Travailler en équipe est très important pour réussir dans sa carrière.
Die Vorlesungen sind sehr interessant und ich lerne viel.,Les cours sont très intéressants et j'apprends beaucoup.
Ich gehe jeden Sonntag spazieren,"Je vais me promener tous les dimanches,"
"Kaya Maghan ernannte mich zum Armeechef, um mich über ihren Verlust hinwegzutrösten.",Kaya Maghan m'a nommé chef des armées pour me consoler de la perte de ma fille.
Unsere Abteilung organisiert regelmäßig Team-Building-Veranstaltungen.,Notre département organise régulièrement des événements de construction d'équipe.
"Hidetora zu verschonen, verrückt oder nicht.","L'erreur, ce fut d'avoir épargné Hidetora, même fou."
"Ich bin dankbar für meine Freunde, weil sie mir immer helfen, wenn ich Probleme habe.",Je suis reconnaissant envers mes amis parce qu'ils m'aident toujours quand j'ai des problèmes.
Das Theater ist ein wichtiger Teil unserer Kultur und Unterhaltung.,Le théâtre est une partie importante de notre culture et divertissement.
"Ich bin dankbar für die Erfahrungen, die ich während meiner Zeit an der Universität gesammelt habe.",Je suis reconnaissant pour les expériences que j'ai accumulées pendant mon séjour à l'université.
Mein Kollege aus dem Büro ist auch ein enger Freund von mir.,Mon collègue du bureau est aussi un ami proche à moi.
Mein Freund ist sehr unterstützend und hilft mir bei schwierigen Zeiten.,Mon ami est très solidaire et m'aide en période difficile.
Mein Bruder studiert Medizin an der Universität,"Mon frère étudie la médecine à l'université,"
"Sie kann tun, was sie will, es ist egal",Elle les tient tous à bout de bras
Ansager) Hier ist eine besondere Attraktion.,"Mesdames et Messieurs, regardez bien!"
Ich gehe jeden Tag ins Fitnessstudio,"Je vais à la salle de sport tous les jours,"
Die Stadt New York ist bekannt für ihre beeindruckenden Sehenswürdigkeiten wie den Times Square.,La ville de New York est connue pour ses attractions impressionnantes comme le Times Square.
"Ich liebe es, im Sommer zu schwimmen","J'adore nager en été,"
Die Olympischen Spiele sind ein großartiges Ereignis für den Sport.,Les Jeux olympiques sont un événement formidable pour le sport.
Dass ich sie rette von was Sie sich fürchtet und Sie weit weit weg nehme,Que je la protégerai et que je l'emmènerai loin.
Die Oper von Wien ist weltberühmt für ihre beeindruckenden Aufführungen.,L'opéra de Vienne est mondialement célèbre pour ses représentations impressionnantes.
Die Zusammenarbeit zwischen den Studenten an der Universität ist sehr produktiv.,La collaboration entre les étudiants à l'université est très productive.
Wir haben letztes Jahr eine Reise nach Paris gemacht,"Nous avons fait un voyage à Paris l'an dernier,"
Sie haben das Konzert aus dem letzten Jahr wiederholt.,Le concert a été enregistré il y a 1 an.
Wir haben uns gestern Abend mit unseren Kollegen getroffen.,Nous nous sommes rencontrés hier soir avec nos collègues.
Die Stadt Paris ist bekannt für ihre romantische Atmosphäre.,La ville de Paris est connue pour son atmosphère romantique.
"Geh zur Toilette, öffne das Fenster und warte auf mich.","Ecoutez- moi: allez à la salle de bains, ouvrez la fenêtre et attendez."
"Es wurden zwei zugelassen, aber erst, nachdem Gouverneur George Wallace seine Drohung, die Schule zu verbarrikadieren, wahr machte.",Deux nègres ont été admis mais seulement après que le gouverneur George Wallace ait symboliquement barré la porte d'entrée.
Im Sommer gehe ich gerne schwimmen und faulenze am Strand.,"En été, j'aime nager et me prélasser sur la plage."
"Hast du versucht, mich wieder reinzulegen? lst das der Grund?",C'est ca? -
Mein Bruder studiert Medizin an der Universität von Berlin.,Mon frère étudie la médecine à l'université de Berlin.
"Es gab Räucherlachs und Artischocken, aber das war uns völlig egal.",On s'en foutait.
Wieso hast du kein Wort gesagt?,Vous descendez sans me le dire?
Ich kenne meine Berufung noch nicht.,Je ne connais pas ma vocation.
"Das Office-Team ist sehr freundlich und hilfsbereit, wenn man Probleme hat.",L'équipe du bureau est très amicale et serviable lorsque l'on a des problèmes.
Der Lehrer erklärt den Schülern das Thema sehr geduldig und verständlich.,L'enseignant explique le sujet aux élèves avec beaucoup de patience et de clarté.
"Das Training mit einem persönlichen Trainer kann helfen, Fitnessziele zu erreichen.",L'entraînement avec un entraîneur personnel peut aider à atteindre des objectifs de condition physique.
"Das Arbeiten im Büro kann manchmal stressig sein, aber meine Kollegen helfen mir immer dabei, ruhig zu bleiben.","Le travail au bureau peut parfois être stressant, mais mes collègues m'aident toujours à rester calme."
"Eine gute Ausbildung ist wichtig, um erfolgreich in einem Beruf zu sein.",Une bonne éducation est importante pour réussir dans un métier.
Warum sollst du als Einziger darin verwickelt sein?,Pourquoi serais- tu le seul incriminé?
"Die Liebe zur Musik ist etwas Wunderbares, das uns verbindet.",L'amour de la musique est quelque chose de merveilleux qui nous unit.
Das Office-Team besteht aus sehr netten Menschen.,L'équipe du bureau est composée de personnes très sympathiques.
Die Stadt Paris ist bekannt für ihre wunderschönen Sehenswürdigkeiten wie den Eiffelturm.,La ville de Paris est connue pour ses magnifiques attractions comme la Tour Eiffel.
Ich trinke jeden Morgen eine Tasse Kaffee,"Je bois chaque matin une tasse de café,"
Die Atmosphäre im Büro ist sehr entspannt und fördert die Kreativität.,L'ambiance au bureau est très détendue et favorise la créativité.
Ein Besuch im Disneyland ist immer ein Highlight meiner Reisen.,Une visite à Disneyland est toujours un moment fort de mes voyages.
"Das Internet bietet viele Möglichkeiten, um neue Dinge zu lernen.",Internet offre beaucoup d'opportunités pour apprendre de nouvelles choses.
Kommen Sie später vorbei und ich verrate es Ihnen.,Revenez plus tard et je vous le dirai.
"Ich liebe es, Bücher zu lesen und neue Dinge zu lernen","J'aime lire des livres et apprendre de nouvelles choses,"
Die Beziehungen zwischen den Studenten sind sehr wichtig für ein gutes Studienklima.,Les relations entre les étudiants sont très importantes pour un bon climat d'étude.
"Die Universität bietet viele Kurse und Workshops an, um die Studierenden auf ihr zukünftiges Berufsleben vorzubereiten.",L'université propose de nombreux cours et ateliers pour préparer les étudiants à leur future carrière professionnelle.
Die Balance zwischen Arbeit und Privatleben ist sehr wichtig.,L'équilibre entre la vie professionnelle et la vie privée est très important.
"Die Universität bietet viele Möglichkeiten, sich weiterzubilden und neue Fähigkeiten zu erlernen.",L'université offre de nombreuses opportunités pour se perfectionner et acquérir de nouvelles compétences.
"Ich liebe es, neue Leute kennenzulernen und Beziehungen zu anderen Kulturen aufzubauen.",J'adore rencontrer de nouvelles personnes et établir des relations avec d'autres cultures.
"Ich bemühe mich, vorsichtig zu sein.",J'y vais doucement.
Ich wohne in einer kleinen Wohnung,J'habite dans un petit appartement
"Ich hoffe, dass ich nach dem Abschluss einen guten Job finden werde, um finanziell abgesichert zu sein.",J'espère que je trouverai un bon emploi après l'obtention de mon diplôme pour être financièrement sécurisé.
Ich spreche drei Sprachen fließend,"Je parle couramment trois langues,"
"Die Schule hat mir geholfen, meine Ziele zu erreichen.",L'école m'a aidé à atteindre mes objectifs.
Die Universität bietet viele Kurse und Workshops für die berufliche Entwicklung.,L'université propose de nombreux cours et ateliers pour le développement professionnel.
Wir haben jeden Freitagabend eine Gruppenveranstaltung mit Freunden aus dem Büro.,Nous avons chaque vendredi soir une rencontre de groupe avec des amis du bureau.
"Ich hoffe, dass ich bald befördert werde und mehr Verantwortung übernehmen kann.",J'espère être bientôt promu et pouvoir prendre plus de responsabilités.
Unsere Abenteuer während des Studiums waren unglaublich.,Nos aventures pendant nos études ont été incroyables.
Ich habe es jedem Weisen im Universum gezeigt.,Je l'ai amené à tous les sages de l'univers.
Die Bibliothek der Universität ist eines der größten in Europa.,La bibliothèque de l'université est une des plus grandes d'Europe.
"Ich liebe es, neue Leute kennenzulernen, insbesondere an der Universität.","J'adore rencontrer de nouvelles personnes, notamment à l'université."
lch höre ein seltsames Rumpeln unter der Erde.,J'entends d'étranges grondements provenant du sous- sol.
Die Universität organisiert regelmäßig Veranstaltungen und Konzerte für die Studenten.,L'université organise régulièrement des événements et des concerts pour les étudiants.
Ein Konzert von Mozart ist immer ein besonderes Ereignis.,Un concert de Mozart est toujours un événement spécial.
"Ich dachte, Lucy bringt mich um.",Lucy va me tuer.
Ich bin sehr müde nach dem langen Tag,"Je suis très fatigué après cette longue journée,"
"Die Stadt veranstaltet jedes Jahr ein großes Fest mit Musik, Essen und Spielen.","La ville organise chaque année une grande fête avec de la musique, de la nourriture et des jeux."
"Mein Lieblingssport ist Basketball, weil er sehr spannend ist.","Mon sport préféré est le basket-ball, car il est très passionnant."
Er liest ein interessantes Buch,"Il lit un livre intéressant,"
Die Universität bietet viele Kurse und Workshops für die Studenten an.,L'université offre de nombreux cours et ateliers pour les étudiants.
Ich habe mein Fahrrad vergessen,"J'ai oublié mon vélo,"
Die Universitätsbibliothek ist sehr umfangreich und bietet viele Ressourcen.,La bibliothèque universitaire est très complète et offre de nombreuses ressources.
"Das Studium ist nicht leicht, aber es lohnt sich definitiv.","Les études ne sont pas faciles, mais cela vaut définitivement la peine."
Unsere Universität fördert die Zusammenarbeit zwischen den Studenten und den Unternehmen.,Notre université encourage la collaboration entre les étudiants et les entreprises.
Der Vortrag war sehr interessant und hat mich inspiriert.,La conférence était très intéressante et m'a inspiré.
Er schürt die lchimonjis gegeneinander auf und reißt sich Euer Land unter den Nagel.,Il attise la guerre entre les lchimonji et il s'empare de leurs terres.
lnnerhalb von zwei Wochen bist du ein verlassener Anspruch.,"Dans deux semaines, tu es une possession abandonnée."
Ein Auslandsstudium kann sehr bereichernd für die eigene Persönlichkeit sein.,Des études à l'étranger peuvent être très enrichissantes pour sa propre personnalité.
Meine Kolleginnen und Kollegen sind alle sehr nett und unterstützen mich bei meiner Arbeit.,Mes collègues sont tous très sympathiques et me soutiennent dans mon travail.
Ich bin ein großer Fan von Abenteuerfilmen und schaue sie oft an.,Je suis un grand fan de films d'aventure et je les regarde souvent.
"Ich kürze ab um Jackie Boy abzufangen, der den Hügel hinauf brettert","Mettez- moi aussi une douzaine de ces tuyaux en caoutchouc,"
"Skifahren ist ein wunderschöner Wintersport, den man einmal im Leben ausprobieren sollte.",Le ski est un magnifique sport d'hiver qu'on devrait essayer au moins une fois dans sa vie.
"Meine Kolleginnen sind sehr nett und helfen mir immer, wenn ich Hilfe brauche.",Mes collègues sont très gentilles et m'aident toujours quand j'en ai besoin.
Der Film war langweilig und ich habe ihn nicht gemocht,"Le film était ennuyeux et je ne l'ai pas aimé,"
Das Fernsehen bietet viele Unterhaltungsprogramme an.,La télévision offre banyak programmes de divertissement.
Mein Bruder spielt sehr gut Fußball,"Mon frère joue très bien au football,"
"Ich gehe jeden Tag ins Fitnessstudio, um mich fit zu halten.",Je vais tous les jours à la salle de sport pour rester en forme.
"Radfahren ist ein gesunder und umweltfreundlicher Weg, sich fortzubewegen.",Le cyclisme est un moyen sain et respectueux de l'environnement pour se déplacer.
Ich habe letzte Woche eine neue Jacke gekauft,"J'ai acheté une nouvelle veste la semaine dernière,"
"Als wir klein waren, haben wir uns manchmal Nachrichten geschrieben.",ont se laissé souvent des messages...
"Erst reisse ich dir die Knöpfe einzeln von der Bluse, dann fahre ich mit meiner Zunge deinen Hals hinunter zu deinen Brüsten!","y: i} J'arracherai les boutons {y: i} de ton chemisier un à un, {y: i} ma langue glissera sur ton cou {y: i} vers tes seins nus."
"Die Olympischen Spiele sind ein großes Ereignis, bei dem Athleten aus der ganzen Welt teilnehmen.",Les jeux olympiques sont un grand événement où des athlètes du monde entier participent.
Der Lehrer erklärt den Schülern die Aufgaben,"L'enseignant explique les tâches aux élèves,"
Ein gutes Buch kann uns auf eine Reise durch verschiedene Welten mitnehmen.,Un bon livre peut nous emmener en voyage à travers différents mondes.
Was ist das für 'n Licht in deinem Mund?,T'as quoi dans la bouche?
Ein Auslandsaufenthalt kann sehr bereichernd für unsere Persönlichkeit sein.,Un séjour à l'étranger peut être très enrichissant pour notre personnalité.
Die Katze ist sehr freundlich,"Le chat est très gentil,"
Man ließ mich an einem Seil über den Nazi- Panzern herab.,Mes camarades me mettaient a une corde au sommet des blindés nazis.
"An der Universität kann man nicht nur lernen, sondern auch viele neue Erfahrungen sammeln.","À l'université, on peut non seulement apprendre, mais aussi acquérir de nombreuses expériences nouvelles."
"Der Berg ist ideal für Skifahrer und Snowboarder, da er steile Hänge und tiefe Schneeverwehungen hat.","La montagne est idéale pour les skieurs et les snowboardeurs, car elle a des pentes raides et des accumulations de neige profondes."
"Ich habe vor, nächstes Jahr nach Paris zu reisen, um die Stadt der Liebe zu erkunden.",J'ai l'intention de voyager à Paris l'année prochaine pour explorer la ville de l'amour.
Der Film war sehr aufregend und hatte eine überraschende Wendung.,Le film était très excitant et avait un tournant surprenant.
"Ich teile mein Büro mit einem meiner besten Freunde, was sehr praktisch ist.","Je partage mon bureau avec l'un de mes meilleurs amis, ce qui est très pratique."
Die Hochschule bietet viele Möglichkeiten zur Weiterbildung an.,L'établissement d'enseignement supérieur offre de nombreuses possibilités de formation continue.
"Sie sollten sich da raushalten, falls Sie wissen, was gut für Sie ist.",Ca ne te regarde pas.
"Das Lernen in einer Gruppe kann sehr effektiv sein, besonders wenn man sich gegenseitig unterstützt.","Apprendre en groupe peut être très efficace, surtout lorsque l'on se soutient mutuellement."
"Ich freue mich darauf, bald mein Diplom zu erhalten.",Je me réjouis de recevoir bientôt mon diplôme.
Mein Bruder spielt seit Jahren Tennis und hat sogar einige Turniere gewonnen.,Mon frère joue au tennis depuis des années et a même gagné quelques tournois.
Ich bin dankbar für die Unterstützung meines Partners.,Je suis reconnaissant pour le soutien de mon partenaire.
"Hauptsache, unser Sohn ist zurück, mein liebes Kind.","Mon fils est revenu grâce à toi, cela suffit."
Ich bin sehr müde heute,"Je suis très fatigué aujourd'hui,"
Das Fernsehen bietet eine Vielzahl von Unterhaltungsprogrammen an.,La télévision propose une variété de programmes de divertissement.
Ich habe viel über Kommunikation und Teamarbeit im Büro gelernt.,J'ai appris muche sur la communication et le travail d'équipe au bureau.
Die Teilnahme an internationalen Sportveranstaltungen fördert den Austausch zwischen verschiedenen Kulturen.,La participation à des manifestations sportives internationales favorise les échanges entre différentes cultures.
"Meine Freunde und ich haben eine Gruppe gegründet, um gemeinsam zu lernen.",Mes amis et moi avons formé un groupe pour étudier ensemble.
"Moment, Mama will mit dir reden.","Attends, maman veut te parler."
"Ich plane, nächstes Jahr nach Australien zu reisen und dort zu surfen.",Je prévois de voyager en Australie l'année prochaine et de faire du surf là-bas.
Ich freue mich auf den Urlaub,"Je me réjouis des vacances,"
Die Ausbildung an der Berufsschule ist sehr praxisorientiert und hilft bei der Suche nach einem Job.,La formation dans l'école professionnelle est très orientée vers la pratique et aide dans la recherche d'un emploi.
Ich bin ein großer Bewunderer von berühmten Persönlichkeiten aus dem Bereich Unterhaltung.,Je suis un grand admirateur de personnalités célèbres dans le domaine du divertissement.
Mein Freund kommt aus Deutschland,"Mon ami vient d'Allemagne,"
Die grösste Verwüstung seit dem Anschlag aufs World Trade Center.,Cet acte de destruction n'a d'égal que l'attaque du World Trade Centre.
Wir haben einen gemeinsamen Raum für Gruppenarbeiten im Büro.,Nous avons une salle commune pour travailler en équipes au bureau.
Das Theaterstück war sehr unterhaltsam und die Schauspieler haben eine tolle Vorstellung geboten.,La pièce de théâtre était très amusante et les acteurs ont offert une excellente représentation.
Die Bibliothek der Universität ist sehr gut ausgestattet.,La bibliothèque de l'université est très bien équipée.
"Da wär ich gar nicht so sicher, sie war ziemlich scharf drauf.",Elle aimait ça.
"Siehst du, wie unglücklich sie sind?",Vois- tu combien ils sont malheureux?
Die Arbeit als Freelancer bietet viel Flexibilität und Unabhängigkeit.,Le travail en tant que freelancer offre beaucoup de flexibilité et d'indépendance.
"Die Freundschaften, die ich an der Universität geschlossen habe, sind sehr wertvoll.",Les amitiés que j'ai nouées à l'université sont très précieuses.
"Kyoami, ist es nur ein Kaninchen?","Kyoami, est- ce un lapin?"
Die Regierung fördert den Bau neuer Schulen und Hochschulen im Land.,Le gouvernement encourage la construction de nouvelles écoles et universités dans le pays.
Die Universitätsbibliothek ist ein wichtiger Ort für uns Studenten.,La bibliothèque universitaire est un endroit important pour nous étudiants.
"Ich schätze die Beziehungen, die ich während meines Studiums aufgebaut habe.",J'apprécie les relations que j'ai construites pendant mes études.
"Die Olympischen Spiele sind ein großes Ereignis, bei dem Athleten aus aller Welt teilnehmen.",Les Jeux olympiques sont un grand événement auquel participent des athlètes du monde entier.
Der Dozent ist sehr erfahren und gibt gute Tipps.,Le conférencier est très expérimenté et donne de bons conseils.
Unsere Gruppe von Freunden plant jedes Jahr eine Reise zusammen.,Notre groupe d'amis planifie chaque année un voyage ensemble.
Die Lehrerin erklärt den Schülern eine neue Lektion,"La professeure explique une nouvelle leçon aux élèves,"
"Der Professor hat uns geholfen, unsere Bachelor-Artikel zu erstellen und zu präsentieren.",Le professeur nous a aidés à créer et présenter nos articles de bachelor.
Der Hund bellt laut,"Le chien aboie fort,"
Ich habe letztes Jahr eine Reise nach Asien unternommen und war beeindruckt von der unterschiedlichen Kultur.,J'ai entrepris un voyage en Asie l'an dernier et j'ai été impressionné par la culture différente.
Der Unfall hielt dich von unserer Hochzeit ab?,C'est l'accident qui vous a empêche de venir au mariage?
Unsere Uni-Gruppe plant jedes Jahr einen Ausflug together.,Notre groupe uni organise chaque année une excursion ensemble.
"Wir haben einen neuen Projektmanager im Büro, der sehr kompetent ist.",Nous avons un nouveau gestionnaire de projet au bureau qui est très compétent.
Die Universitätsbibliothek ist ein wichtiger Ort für mich.,La bibliothèque universitaire est un endroit important pour moi.
Meine Mutter backt immer einen Kuchen zu meinem Geburtstag,"Ma mère fait toujours un gâteau pour mon anniversaire,"
"Der Vorteil daran, an einer Universität zu studieren, ist die Vielfalt der Menschen.",L'avantage de étudier à une université est la diversité des gens.
Weil ich gerade den letzten Karton ausgepackt habe.,Parce que je viens de déballer le dernier carton.
"Die Universität bietet viele Möglichkeiten für die Studierenden, sich zu engagieren und etwas zurückzugeben.",L'université propose de nombreuses occasions aux étudiants pour s'engager et donner en retour.
Warum riskieren wir das Leben für eine Prinzessin?,Pourquoi est- ce qu'on risque notre vie pour une princesse?
"In ""Rush Hour 3"" spielt der nicht mehr mit.",ll sera pas dans Rush Hour 3.
Ich treibe gerne Radfahren und Schwimmen als Freizeitsport.,J'aime pratiquer le cyclisme et la natation comme sports de loisirs.
"Es ist wichtig, eine gute Balance zwischen Arbeit und Freizeit zu finden.",Il est important de trouver un bon équilibre entre le travail et les loisirs.
Möcht ich dich Zur Himmelspforte entführen,Je t'emmène au Pays de I' Amour
"Surfen ist ein aufregender Wassersport, der viel Geschicklichkeit erfordert.",Le surf est un sport aquatique excitant qui nécessite beaucoup d'habileté.
Der Lehrer erklärt die Aufgabe,"L'enseignant explique l'exercice,"
"In unserem Büro arbeiten viele verschiedene Menschen zusammen, was sehr bereichernd ist.","Dans notre bureau, de nombreuses personnes différentes travaillent ensemble, ce qui est très enrichissant."
