German,French
"Ich bin froh, dass ich Urlaub habe","Je suis heureux d'avoir des vacances,"
Das Wetter ist heute sehr schlecht,"Le temps est très mauvais aujourd'hui,"
"Ich hoffe, dass ich bald wieder nach Paris reise","J'espère que je pourrai bientôt voyager à nouveau à Paris,"
Wir gehen nächste Woche an den Strand,"Nous allons à la plage la semaine prochaine,"
"Ich mag es, wenn die Sonne scheint","J'aime quand le soleil brille,"
Wir feiern Weihnachten jedes Jahr bei meiner Familie,"Nous célébrons Noël chaque année chez ma famille,"
Ich habe gestern Abend einen interessanten Film gesehen,"J'ai vu un film intéressant hier soir,"
Mein Vater arbeitet als Ingenieur und verdient gut,"Mon père travaille comme ingénieur et gagne bien,"
Wir essen am Wochenende oft bei meinen Großeltern,"Nous mangeons souvent chez mes grands-parents le week-end,"
Der Flug von Frankfurt nach New York dauert etwa neun Stunden,Le vol de Francfort à New York dure environ neuf heures
Die Stadt Berlin ist sehr schön,"La ville de Berlin est très belle,"
Meine Familie wohnt in München,"Ma famille habite à Munich,"
"Ich liebe es, im Sommer am Strand zu sein","J'adore être sur la plage en été,"
Die Berge sind sehr hoch und steil,"Les montagnes sont très hautes et escarpées,"
Ich habe einen kleinen Bruder,"J'ai un petit frère,"
Die Blumen sind sehr schöne Geschenke,"Les fleurs sont de très beaux cadeaux,"
"Ich gehe gerne ins Kino, um Filme zu sehen","J'aime aller au cinéma pour voir des films,"
"Ich liebe es, am Strand spazieren","J'adore me promener sur la plage,"
"Mein Lieblingsbuch ist ""Der Alchemist""","Mon livre préféré est ""L'alchimiste"","
Die Musik ist laut und schön,"La musique est forte et belle,"
Die Sonne scheint hell und warm,"Le soleil brille avec intensité et chaudement,"
"Ich habe Hunger, ich möchte etwas essen","J'ai faim, je voudrais manger quelque chose,"
"Ich bin müde, ich brauche Schlaf","Je suis fatigué, j'ai besoin de sommeil,"
Wir haben gestern Abend ein gutes Essen gegessen,"Nous avons mangé un bon repas hier soir,"
Ich freue mich auf den Urlaub,"Je me réjouis des vacances,"
Der Himmel ist heute blau und sonnig,"Le ciel est bleu et ensoleillé aujourd'hui,"
"Ich liebe es, im Park spazieren zu gehen","J'adore me promener dans le parc,"
Die Sonne scheint hell am Morgen,"Le soleil brille fort le matin,"
"Ich freue mich darauf, Urlaub zu machen","Je me réjouis de partir en vacances,"
"Ich mag es, Bücher zu lesen","J'aime lire des livres,"
Meine Mutter kocht gern,"Ma mère cuisine volontiers,"
Das Meer ist sehr tief,"Le mer est très profond,"
Ich höre gerne Musik auf meinem Weg zur Arbeit,"J'aime écouter de la musique pendant mon trajet vers le travail,"
Wir fahren nächste Woche ins Gebirge,"Nous allons en montagne la semaine prochaine,"
Wir essen am Sonntag immer zusammen,"Nous mangeons toujours ensemble le dimanche,"
Sie hat einen roten Pullover an,"Elle porte un pulloveur rouge,"
Sie sprechen fünf Sprachen fließend,"Elle parle cinq langues couramment,"
Der Film war sehr unterhaltsam,"Le film était très divertissant,"
Ich gehe jeden Tag zum Park,"Je vais au parc tous les jours,"
Der Hund ist sehr groß,"Le chien est très grand,"
Die Stadt ist sehr sauber,"La ville est très propre,"
Die Musik ist sehr laut,"La musique est très forte,"
Wir haben einen großen Garten,"Nous avons un grand jardin,"
Ich habe gestern einen Brief geschrieben,"J'ai écrit une lettre hier,"
Wir haben heute eine Prüfung in der Schule,"Nous avons un examen à l'école aujourd'hui,"
Die Landschaft ist wunderschön und grün,"Le paysage est magnifique et vert,"
"Ich habe einen Bruder, der in Paris wohnt","J'ai un frère qui vit à Paris,"
Wir fahren nächste Woche nach Berlin,"Nous allons à Berlin la semaine prochaine,"
Ich mag den Sommer mehr als den Winter,"Je préfère l'été au hiver,"
Wir essen am Wochenende oft Pizza,"Nous mangeons souvent de la pizza le week-end,"
Mein Freund kommt aus Spanien,"Mon ami vient d'Espagne,"
Die Berge sind hoch und schneebedeckt,Les montagnes sont hautes et couvertes de neige
Der Film beginnt um 20 Uhr im Kino,Le film commence à 20 heures au cinéma
Mein Bruder studiert im Ausland,"Mon frère étudie à l'étranger,"
Meine Schwester spielt Klavier,"Ma sœur joue du piano,"
Wir haben gestern Abend einen schönen Spaziergang gemacht,"Nous avons fait une belle promenade hier soir,"
Ich habe mein Fahrrad vergessen,"J'ai oublié mon vélo,"
Die Familie feiert Weihnachten zusammen,La famille célèbre Noël ensemble
Meine Mutter kocht sehr gutes Essen,"Ma mère cuisine très bien,"
Ich gehe jeden Sonntag ins Kino,"Je vais au cinéma tous les dimanches,"
Ich möchte nach Paris reisen und den Eiffelturm besuchen,"Je veux voyager à Paris et visiter la tour Eiffel,"
Ich esse gerne Pizza und Sushi,"J'aime manger de la pizza et du sushi,"
Der Film war langweilig und ich habe ihn nicht gemocht,"Le film était ennuyeux et je ne l'ai pas aimé,"
Ich liebe den Sommer und das Meer,"J'adore l'été et la mer,"
Ich werde nächstes Jahr nach Deutschland zurückkehren,"Je reviendrai en Allemagne l'année prochaine,"
Die Stadt Berlin ist sehr groß,"La ville de Berlin est très grande,"
Meine Lieblingsfarbe ist blau,"Ma couleur préférée est le bleu,"
Der Sommer ist meine liebste Jahreszeit,"L'été est ma saison favorite,"
Ich wohne in einer kleinen Wohnung,J'habite dans un petit appartement
Ich habe einen kleinen Garten,"J'ai un petit jardin,"
Wir haben gestern Abend ein gutes Essen gehabt,"Nous avons eu un bon repas hier soir,"
Wir gehen am Wochenende wandern,"Nous allons faire de la randonnée le week-end,"
Ich bin sehr müde und möchte schlafen,Je suis très fatigué et je veux dormir
Wir fahren nächste Woche nach Paris für unsere Urlaubsreise,"Nous allons à Paris la semaine prochaine pour notre voyage de vacances,"
Die Blumen im Garten sind wunderschön und bunt,"Les fleurs dans le jardin sont magnifiques et colorées,"
Das Wetter war letzte Woche sehr schlecht und regnerisch,"La météo était très mauvaise et pluvieuse la semaine dernière,"
Wir haben am Wochenende eine Party mit Freunden geplant,"Nous avons prévu une fête avec des amis le week-end,"
"Ich liebe es, neue Sprachen zu lernen und andere Kulturen kennenzulernen","J'aime apprendre de nouvelles langues et découvrir d'autres cultures,"
Mein Vater arbeitet als Ingenieur in einem großen Unternehmen,"Mon père travaille comme ingénieur dans une grande entreprise,"
Die Natur ist sehr wichtig für unser Leben und unsere Umwelt,La nature est très importante pour notre vie et notre environnement
Meine Mutter kocht sehr gerne,"Ma mère cuisine avec plaisir,"
Er spielt seit Jahren Fußball,"Il joue au football depuis des années,"
Sie sprechen fünf verschiedene Sprachen,"Ils parlent cinq langues différentes,"
"Ich liebe es, am Meer zu schwimmen und zu tauchen","J'aime nager et plonger en mer,"
Die Kinder spielen gerne im Sandkasten,"Les enfants jouent volontiers dans le bac à sable,"
"Ich bin sehr glücklich, dass ich Urlaub habe","Je suis très heureux d'avoir des vacances,"
Das Meer ist sehr tief und salzig,"La mer est très profonde et saline,"
Die Sonne scheint sehr hell und warm,Le soleil brille très fort et chaudement
Ich habe einen Freund in Paris,"J'ai un ami à Paris,"
"Ich liebe es, neue Sprachen zu lernen","J'adore apprendre de nouvelles langues,"
Wir haben gestern Abend einen schönen Film im Kino gesehen,"Nous avons vu un beau film au cinéma hier soir,"
Die Blumen sind im Garten sehr schön angeordnet,"Les fleurs sont disposées de manière très agréable dans le jardin,"
Unsere Schule hat eine gute Bibliothek mit vielen Büchern,"Notre école a une bonne bibliothèque avec beaucoup de livres,"
"Ich mag es, wenn meine Freunde mich besuchen kommen","J'aime quand mes amis viennent me rendre visite,"
Der Lehrer erklärt den Schulkindern das Thema sehr gut,"L'enseignant explique le sujet aux enfants de l'école de manière très claire,"
Die Stadt ist nachts sehr beleuchtet und schön anzusehen,"La ville est très illuminée la nuit et belle à voir,"
Unser Team gewinnt immer bei den Sportwettbewerben,"Notre équipe gagne toujours les compétitions sportives,"
"Ich bin sehr müde, weil ich letzte Nacht spät ins Bett gegangen bin","Je suis très fatigué parce que je me suis couché tard dans mon lit la nuit dernière,"
Die Musik ist laut und alle tanzen darauf,La musique est forte et tout le monde danse dessus
Meine Mutter kocht heute Abend für eine große Gruppe von Freunden,"Ma mère cuisine ce soir pour un grand groupe d'amis,"
Das Wetter war gestern schön und sonnig,"La météo était belle et ensoleillée hier,"
"Ich liebe es, am Wochenende spazieren zu gehen","J'adore aller me promener le week-end,"
Mein Freund kommt aus einem anderen Land und spricht mehrere Sprachen,"Mon ami vient d'être d'un autre pays et parle plusieurs langues,"
Die Reise nach Paris war sehr schön,"Le voyage à Paris était très beau,"
Die Landschaft hier ist sehr malerisch,"Le paysage ici est très pittoresque,"
Meine Schwester liest viel Bücher,"Ma sœur lit beaucoup de livres,"
Der Lehrer erklärt die Aufgabe sehr gut,"L'enseignant explique l'exercice très bien,"
Wir haben letzte Woche eine Reise gemacht,"Nous avons fait un voyage la semaine dernière,"
"Ich liebe es, neue Bücher zu lesen","J'adore lire des livres nouveaux,"
Der Lehrer gibt uns viel Hausaufgaben,"L'enseignant nous donne beaucoup de devoirs à la maison,"
Die Stadt ist nachts sehr beleuchtet,"La ville est très éclairée la nuit,"
Ich habe einen kleinen Hund namens Max,"J'ai un petit chien nommé Max,"
Ich liebe die Musik von Beethoven,"J'adore la musique de Beethoven,"
Die Berge sind sehr hoch,"Les montagnes sont très hautes,"
Ich werde nächsten Sommer nach Frankreich reisen,"Je voyagerai en France l'été prochain,"
Ich habe viele Freunde in der Schule,"J'ai beaucoup d'amis à l'école,"
Wir fahren nächste Woche in den Urlaub,"Nous partons en vacances la semaine prochaine,"
Ich bin sehr müde nach dem langen Tag,"Je suis très fatigué après cette longue journée,"
Meine Schwester spielt sehr gern Klavier,"Ma sœur joue très volontiers du piano,"
Meine Schwester spielt gerne Tennis und Fußball,"Ma sœur aime jouer au tennis et au football,"
Wir essen heute Abend in einem neuen Restaurant,Nous allons diner ce soir dans un nouveau restaurant
Die Blumen sind rot und sehr hübsch,"Les fleurs sont rouges et très jolies,"
Die Musik ist laut und stört mich,"La musique est forte et me dérange,"
Das Auto ist sehr schnell,"La voiture est très rapide,"
Ich werde nächste Woche Urlaub machen,"Je prendrai des vacances la semaine prochaine,"
Die Stadt ist sehr groß und schön,"La ville est très grande et belle,"
Die Kinder spielen glücklich im Sandkasten,"Les enfants jouent heureux dans le bac à sable,"
Mein Bruder wohnt in einer anderen Stadt,"Mon frère habite dans une autre ville,"
"Wir fahren morgen nach Paris, um den Eiffelturm zu besuchen","Nous allons à Paris demain pour visiter la tour Eiffel,"
"Das Wetter war gestern sehr schlecht, es hat viel geregnet","La météo était très mauvaise hier, il a beaucoup plu,"
Meine Mutter kocht sehr gerne italienische Gerichte,"Ma mère cuisine très volontiers des plats italiens,"
Ich habe mich für einen Spaziergang im Park entschieden,"J'ai choisi d'aller me promener au parc,"
Mein Vater arbeitet als Ingenieur bei einem großen Unternehmen,"Mon père travaille comme ingénieur chez une grande entreprise,"
Wir haben uns gestern Abend einen Film angesehen,"Nous avons regardé un film hier soir,"
Die Straße ist gerade renoviert worden und sieht jetzt sehr sauber aus,"La rue vient d'être rénovée et a maintenant l'air très propre,"
"Mein Freund kommt morgen zu Besuch, ich freue mich darauf","Mon ami vient me voir demain, j'ai hâte,"
"Die Bibliothek ist ein wichtiger Ort, um Bücher zu lesen und zu lernen","La bibliothèque est un endroit important pour lire des livres et apprendre,"
Mein Vater liest gerne Bücher,"Mon père aime lire des livres,"
Ich gehe jeden Sonntag spazieren,"Je vais me promener tous les dimanches,"
Der Flug nach New York dauert zehn Stunden,"Le vol pour New York dure dix heures,"
Mein Bruder studiert Medizin an der Universität,"Mon frère étudie la médecine à l'université,"
Der Lehrer erklärt die Mathematik-Aufgaben sehr klar,"L'enseignant explique les exercices de mathématiques très clairement,"
Das Buch ist sehr interessant und ich kann nicht aufhören zu lesen,"Le livre est très intéressant et je ne peux pas arrêter de lire,"
Das Essen im Restaurant war lecker,"La nourriture au restaurant était délicieuse,"
"Ich hoffe, ich sehe dich bald wieder",J'espère vous voir bientôt again
Die Schüler lernen fleißig für ihre Prüfungen.,Les étudiants étudient diligemment pour leurs examens.
Ich esse gerne frische Früchte zum Frühstück.,J'aime manger des fruits frais au petit déjeuner.
Der Lehrer erklärt den Schülern die neue Aufgabe.,L'enseignant explique aux élèves le nouveau devoir.
Wir fahren nächste Woche nach Paris.,Nous allons à Paris la semaine prochaine.
Das Wetter ist heute sehr schön.,Le temps est très beau aujourd'hui.
Meine Mutter kocht jeden Tag ein leckeres Abendessen.,Ma mère cuisine chaque jour un dîner délicieux.
Die Katze schläft den ganzen Tag auf dem Sofa.,Le chat dort toute la journée sur le canapé.
Mein Bruder spielt gern Fußball mit seinen Freunden.,Mon frère aime jouer au football avec ses amis.
Die Blumen im Garten sind sehr hübsch.,Les fleurs dans le jardin sont très jolies.
Ich gehe jeden Morgen joggen im Park.,Je vais faire du jogging tous les matins au parc.
Die Stadt ist sehr groß und belebt.,La ville est très grande et animée.
Mein Vater arbeitet als Ingenieur in einer Firma.,Mon père travaille comme ingénieur dans une entreprise.
Die Schule bietet viele verschiedene Kurse an.,L'école offre de nombreux cours différents.
"Ich liebe es, am Wochenende ins Kino zu gehen.",J'adore aller au cinéma le week-end.
Die Natur ist sehr wichtig für unsere Umwelt.,La nature est très importante pour notre environnement.
Ich habe gestern Abend ein gutes Buch gelesen,"J'ai lu un bon livre hier soir,"
Meine Mutter kocht sehr gut und macht leckere Gerichte,"Ma mère cuisine très bien et prépare des plats délicieux,"
Ich bin müde und brauche einen Urlaub,"Je suis fatigué et j'ai besoin de vacances,"
Ich liebe es zu reisen und neue Länder zu erkunden.,J'adore voyager et découvrir de nouveaux pays.
Der Fußball ist mein Lieblingssport und ich spielen ihn jeden Sonntag.,Le football est mon sport préféré et je le joue tous les dimanches.
Die Universität von Berlin bietet viele interessante Kurse an.,L'université de Berlin propose de nombreux cours intéressants.
"Wenn ich nicht arbeite, gehe ich gerne ins Kino oder Theater.","Quand je ne travaille pas, j'aime aller au cinéma ou au théâtre."
"Mein Traum ist es, einmal um die Welt zu segeln.",Mon rêve est de faire un jour le tour du monde en voilier.
Das Skifahren in den Alpen ist ein unvergessliches Erlebnis.,Le ski dans les Alpes est une expérience inoubliable.
"Die Schule hat einen neuen Sportplatz gebaut, auf dem wir jetzt Basketball spielen können.",L'école a construit un nouveau terrain de sport où nous pouvons maintenant jouer au basket-ball.
"Ich habe mich für einen Sprachkurs in Frankreich angemeldet, um meine Französischkenntnisse zu verbessern.",Je me suis inscrit à un cours de langue en France pour améliorer mes connaissances en français.
Der Lehrer hat uns eine interessante Geschichte über die Geschichte des Fußballs erzählt.,L'enseignant nous a raconté une histoire intéressante sur l'histoire du football.
"Meine Freunde und ich planen eine Reise nach Asien, um verschiedene Kulturen kennenzulernen.",Mes amis et moi planifions un voyage en Asie pour découvrir différentes cultures.
Die Stadt Paris ist bekannt für ihre schönen Museen und Galerien.,La ville de Paris est connue pour ses beaux musées et galeries.
Ich bin ein großer Fan von Tennis und schaue mir alle Grand-Slam-Turniere an.,Je suis un grand fan de tennis et regarde tous les tournois du Grand Chelem.
Die Hochschule bietet viele Möglichkeiten zur Weiterbildung an.,L'établissement d'enseignement supérieur offre de nombreuses possibilités de formation continue.
Ein Besuch im Disneyland ist immer ein Highlight meiner Reisen.,Une visite à Disneyland est toujours un moment fort de mes voyages.
"Ich treibe gerne Sport, besonders Radfahren und Schwimmen.","J'aime pratiquer des sports, notamment le cyclisme et la natation."
Die Bibliothek der Universität ist sehr gut ausgestattet und bietet viele Ressourcen an.,La bibliothèque de l'université est très bien équipée et offre de nombreuses ressources.
Mein Bruder ist ein talentierter Musiker und spielt in einer Band.,Mon frère est un musicien talentueux et joue dans un groupe.
"Die Olympischen Spiele sind ein großes Ereignis, bei dem Athleten aus aller Welt teilnehmen.",Les Jeux olympiques sont un grand événement auquel participent des athlètes du monde entier.
"Ich plane, nächstes Jahr an einem Marathon teilzunehmen und trainiere bereits dafür.",Je prévois de participer à un marathon l'année prochaine et m'entraîne déjà pour cela.
Die Stadt New York ist bekannt für ihr vielfältiges Nachtleben und ihre vielen Theater.,La ville de New York est connue pour sa vie nocturne variée et ses nombreux théâtres.
Der Fußball ist ein sehr beliebter Sport in Deutschland.,Le football est un sport très populaire en Allemagne.
Die Bildung ist der Schlüssel zum Erfolg in unserem Leben.,L'éducation est la clé du succès dans notre vie.
"Mein Lieblingssport ist Basketball, weil er sehr spannend ist.","Mon sport préféré est le basket-ball, car il est très passionnant."
Wir haben letztes Jahr eine tolle Reise nach Paris gemacht.,Nous avons fait un excellent voyage à Paris l'année dernière.
"Das Lesen von Büchern ist eine großartige Möglichkeit, sich zu bilden.",La lecture des livres est une excellente façon de s'instruire.
Die Olympischen Spiele sind ein wichtiger Teil der internationalen Sportveranstaltungen.,Les Jeux olympiques sont une partie importante des événements sportifs internationaux.
"Ich bin ein großer Fan von deutschen Autos, besonders von Mercedes-Benz.","Je suis un grand fanatique des voitures allemandes, surtout de Mercedes-Benz."
Ein guter Lehrer kann einen großen Unterschied im Lernen eines Schülers machen.,Un bon professeur peut faire une grande différence dans l'apprentissage d'un élève.
Die Stadt Berlin ist bekannt für ihre reiche Geschichte und Kultur.,La ville de Berlin est connue pour son riche histoire et sa culture.
Das Fernsehen bietet viele Unterhaltungsmöglichkeiten wie Filme und Serien.,La télévision offre de nombreuses possibilités de divertissement comme les films et les séries.
"Radfahren ist ein gesunder und umweltfreundlicher Weg, um zur Arbeit zu kommen.",Le vélo est un moyen de transport sain et respectueux de l'environnement pour se rendre au travail.
"Die Universität ist ein Ort, an dem man viel über verschiedene Fächer lernen kann.",L'université est un endroit où l'on peut apprendre beaucoup sur différents sujets.
"Skifahren ist ein aufregender Wintersport, den ich jedes Jahr praktiziere.",Le ski est un sport d'hiver excitant que je pratique chaque année.
Eine gute Ausbildung ist entscheidend für die Zukunft unserer Kinder.,Une bonne éducation est déterminante pour l'avenir de nos enfants.
"Schwimmen ist ein toller SommerSport, der viel Spaß macht.",La natation est un excellent sport d'été qui procure beaucoup de plaisir.
Die Stadt München ist berühmt für ihr Oktoberfest und ihre schönen Parks.,La ville de Munich est célèbre pour son Oktoberfest et ses beaux parcs.
Ein gutes Buch kann uns zu neuen Orten und Abenteuern entführen.,Un bon livre peut nous emmener vers de nouveaux lieux et aventures.
"Das Internet bietet viele Möglichkeiten, um neue Dinge zu lernen und sich zu unterhalten.",L'internet offre de nombreuses possibilités pour apprendre de nouvelles choses et se divertir.
Ich liebe es zu reisen und neue Kulturen kennenzulernen.,J'adore voyager et découvrir de nouvelles cultures.
Die Universität von Berlin bietet viele verschiedene Studiengänge an.,L'université de Berlin propose de nombreux cursus différents.
Im Sommer gehe ich gerne schwimmen und segeln.,"En été, j'aime nager et faire de la voile."
"Mein Lieblingsfilm ist ""Der Pianist"" von Roman Polanski.","Mon film préféré est ""Le Pianiste"" de Roman Polanski."
"Wenn ich Urlaub habe, besuche ich gerne meine Familie in den Bergen.","Quand je suis en vacances, j'aime rendre visite à ma famille dans les montagnes."
"Das Skifahren ist ein toller Sport, um die Natur zu genießen.",Le ski est un excellent sport pour apprécier la nature.
In der Schule lerne ich viel über Geschichte und Geographie.,"À l'école, j'apprends beaucoup sur l'histoire et la géographie."
Ein Besuch im Theater oder Konzertsaal ist immer wieder etwas Besonderes.,Une visite au théâtre ou à la salle de concert est toujours quelque chose de spécial.
"Meine Freunde und ich lieben es, gemeinsam Radtouren zu unternehmen.",Mes amis et moi adorons faire des randonnées à vélo ensemble.
Die Stadt Paris ist bekannt für ihre wunderschönen Sehenswürdigkeiten wie den Eiffelturm.,La ville de Paris est connue pour ses magnifiques attractions comme la Tour Eiffel.
Bei einem Auslandsaufenthalt kann man viel über fremde Länder und Kulturen lernen.,"Pendant un séjour à l'étranger, on peut apprendre beaucoup sur les pays et les cultures étrangers."
Ich bin ein großer Fan vom Tennis und schaue mir gerne Grand-Slam-Turniere an.,Je suis un grand fan du tennis et j'aime regarder les tournois du Grand Chelem.
"Eine gute Bildung ist wichtig, um später einen guten Job zu finden.",Une bonne éducation est importante pour trouver plus tard un bon emploi.
"Am Wochenende gehe ich oft ins Kino, um mich zu entspannen.","Le week-end, j'ai souvent l'habitude d'aller au cinéma pour me détendre."
"Reisen per Flugzeug ist schnell und bequem, aber auch teuer.","Voyager en avion est rapide et confortable, mais aussi coûteux."
Mein Bruder spielt seit Jahren Basketball und hat sogar eine Medaille gewonnen.,Mon frère joue au basket depuis des années et a même gagné une médaille.
"Die Bibliothek ist ein wichtiger Ort, um Bücher auszuleihen und zu lernen.",La bibliothèque est un lieu important pour emprunter des livres et apprendre.
"Ein Abonnement für das Fitnessstudio hilft mir, fit zu bleiben.",Un abonnement à la salle de sport m'aide à rester en forme.
"Die Musikindustrie bietet viele Möglichkeiten für junge Talente, sich zu entwickeln.",L'industrie musicale offre de nombreuses opportunités aux jeunes talents pour se développer.
Die Stadt Paris ist bekannt für ihre schöne Architektur und Kunst.,La ville de Paris est connue pour son architecture et son art magnifiques.
Ich habe mich für einen Sprachkurs in Spanien angemeldet.,Je me suis inscrit à un cours de langue en Espagne.
Die Schule organisiert jedes Jahr eine Klassenfahrt nach Italien.,L'école organise chaque année un voyage de classe en Italie.
Mein Bruder spielt seit Jahren Tennis und hat sogar einige Turniere gewonnen.,Mon frère joue au tennis depuis des années et a même gagné quelques tournois.
Die Oper von Wien ist weltberühmt für ihre atemberaubenden Aufführungen.,L'opéra de Vienne est mondialement célèbre pour ses représentations à couper le souffle.
Ich bin gerade zurückgekehrt von einer Reise durch Asien.,Je suis juste rentré d'un voyage à travers l'Asie.
Die Bibliothek der Universität ist eines der größten in Europa.,La bibliothèque de l'université est une des plus grandes d'Europe.
Mein Freund studiert Medizin an der Universität von München.,Mon ami étudie la médecine à l'université de Munich.
"Das Theaterstück war so gut, dass wir uns entschieden haben, es noch einmal anzusehen.",La pièce de théâtre était tellement bonne que nous avons décidé de la revoir.
Die Städte Barcelona und Madrid sind beide sehenswert.,Les villes de Barcelone et de Madrid sont toutes deux dignes d'être visitées.
Ich habe mich für den Marathon in New York angemeldet.,Je me suis inscrit pour le marathon de New York.
Die Musikszene in Berlin ist sehr vielfältig und lebendig.,La scène musicale à Berlin est très diverse et animée.
"Meine Schwester liebt es, Bücher über Geschichte zu lesen.",Ma sœur adore lire des livres sur l'histoire.
"Der Film ""Titanic"" von James Cameron ist ein Klassiker.","Le film ""Titanic"" de James Cameron est un classique."
Die Stadt Paris ist bekannt für ihre wunderschönen Museen und Galerien.,La ville de Paris est connue pour ses musées et galeries magnifiques.
Ich bin ein großer Fan des Tennis-Spielers Roger Federer.,Je suis un grand fan du joueur de tennis Roger Federer.
Die Schule bietet eine Vielzahl von außerschulischen Aktivitäten an.,L'école propose une variété d'activités parascolaires.
Das Reisen per Flugzeug ist schnell und bequem.,Voyager en avion est rapide et confortable.
Die Olympischen Spiele sind ein großes Ereignis im Bereich des Sports.,Les Jeux olympiques sont un grand événement dans le domaine du sport.
Ich habe mich für einen Studienplatz an der Sorbonne beworben.,J'ai postulé pour une place d'étudiant à la Sorbonne.
"Das Surfen ist ein toller Sport, um die Natur zu genießen.",Le surf est un excellent sport pour apprécier la nature.
Die Bibliothek der Universität ist sehr gut ausgestattet.,La bibliothèque de l'université est très bien équipée.
"Ich mag es, ins Kino zu gehen und neueste Filme anzusehen.",J'aime aller au cinéma et regarder les derniers films.
Die Städte Barcelona und Madrid sind sehr sehenswert.,Les villes de Barcelone et Madrid sont très intéressantes à visiter.
Das Skifahren ist ein aufregender Wintersport.,Le ski est un sport d'hiver passionnant.
Die Ausbildung an einer Fachhochschule dauert normalerweise drei Jahre.,La formation dans une haute école spécialisée dure normalement trois ans.
Ich bin ein großer Bewunderer der Musik von Mozart.,Je suis un grand admirateur de la musique de Mozart.
Die Weltmeisterschaft im Fußball ist ein wichtiges Event.,La coupe du monde de football est un événement important.
"Das Theaterstück ""Hamlet"" von Shakespeare ist sehr berühmt.","La pièce de théâtre ""Hamlet"" de Shakespeare est très célèbre."
"Ich gehe gerne ins Kino, um mich zu entspannen.",J'aime aller au cinéma pour me détendre.
"Mein Lieblingssport ist Tennis, weil es sehr anspruchsvoll ist.","Mon sport préféré est le tennis, car c'est très exigeant."
Die Universität bietet viele verschiedene Studiengänge an.,L'université offre de nombreux cursus différents.
Ein Besuch im Theater kann sehr unterhaltsam sein.,Une visite au théâtre peut être très amusante.
"Wenn ich Urlaub mache, möchte ich immer neue Orte erkunden.","Quand je suis en vacances, je veux toujours explorer de nouveaux endroits."
"Das Lesen von Büchern ist eine gute Möglichkeit, sich zu bilden.",La lecture de livres est une bonne façon de s'instruire.
Ich bin ein großer Fan von Musikfestivals.,Je suis un grand fan de festivals de musique.
Der Unterricht in der Schule sollte interessant und abwechslungsreich sein.,L'enseignement à l'école devrait être intéressant et varié.
Eine Fahrradtour durch die Stadt kann sehr erholsam sein.,Un tour à vélo à travers la ville peut être très reposant.
"Ich habe vor, nächstes Jahr nach Paris zu reisen.",J'ai l'intention de voyager à Paris l'année prochaine.
Die Teilnahme an einem Marathon erfordert viel Training und Disziplin.,La participation à un marathon nécessite beaucoup d'entraînement et de discipline.
Ein Museumsbesuch kann sehr lehrreich und unterhaltsam sein.,Une visite au musée peut être très instructive et amusante.
"Meine Freunde und ich lieben es, gemeinsam Filme anzusehen.",Mes amis et moi adorons regarder des films ensemble.
Die Ausbildung eines Lehrers sollte ständig aktualisiert werden.,La formation d'un enseignant doit être constamment mise à jour.
Ein Abonnement für einen Streamingdienst bietet Zugang zu vielen Filmen und Serien.,Un abonnement à un service de streaming offre accès à de nombreux films et séries.
"Ein Besuch im Kino ist eine gute Möglichkeit, sich zu entspannen.",Une visite au cinéma est une bonne façon de se détendre.
Ich bin ein großer Fan von Musikfestivals und Konzerten.,Je suis un grand fan de festivals de musique et de concerts.
Die Olympischen Spiele sind ein großes Ereignis für alle Sportler.,Les jeux olympiques sont un grand événement pour tous les athlètes.
Eine gute Ausbildung ist wichtig für die Zukunft unserer Kinder.,Une bonne éducation est importante pour l'avenir de nos enfants.
Ein Abstecher in den Bergen ist ideal für Wanderungen und Skifahren.,Un détour dans les montagnes est idéal pour des randonnées et le ski.
"Das Internet bietet viele Möglichkeiten, um neue Dinge zu lernen.",Internet offre beaucoup d'opportunités pour apprendre de nouvelles choses.
"Ein Museumsbesuch ist eine gute Gelegenheit, Geschichte zu erfahren.",Une visite aux musées est une bonne occasion d'apprendre l'histoire.
Die Teilnahme an einem Marathon ist eine Herausforderung für jeden Läufer.,La participation à un marathon est un défi pour chaque coureur.
Ein Urlaub am Meer ist perfekt für Schwimmen und Sonnenbaden.,Des vacances à la mer sont parfaites pour nager et prendre des bains de soleil.
Die Universität bietet vielen Studenten eine Vielzahl von Studienfächern.,L'université propose à de nombreux étudiants une variété de matières d'étude.
"Ein Theaterbesuch ist eine unterhaltsame Art, klassische Stücke zu sehen.",Une visite au théâtre est une manière divertissante de voir des pièces classiques.
"Das Radfahren ist ein gesunder und umweltfreundlicher Weg, zur Arbeit zu kommen.",Le vélo est un moyen sain et respectueux de l'environnement pour aller travailler.
Ein Besuch in einer neuen Stadt ist immer aufregend und spannend.,Une visite dans une nouvelle ville est toujours excitante et passionnante.
Die Schule spielt eine wichtige Rolle bei der Entwicklung junger Menschen.,L'école joue un rôle important dans le développement des jeunes.
"Das Training mit einem persönlichen Trainer kann helfen, Fitnessziele zu erreichen.",L'entraînement avec un entraîneur personnel peut aider à atteindre des objectifs de condition physique.
Die Bildung ist wichtig für die Zukunft unserer Kinder.,L'éducation est importante pour l'avenir de nos enfants.
Ich habe letztes Jahr eine Reise nach Paris gemacht.,J'ai fait un voyage à Paris l'an dernier.
"Tennis ist ein toller Sport, um sich fit zu halten.",Le tennis est un excellent sport pour rester en forme.
